"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"linear_scale","dim_order","2201","0","0.05","0.0481111","13.0523","1","0"
"linear_scale","dim_order","2201","1","0.1","0.0742407","13.0399","1","0"
"linear_scale","dim_order","2201","2","0.15","0.148704","13.0536","1","0"
"linear_scale","dim_order","2201","3","0.2","0.173704","13.0677","1","0"
"linear_scale","dim_order","2201","4","0.25","0.198321","13.0732","1","0"
"linear_scale","dim_order","2201","5","0.3","0.224935","13.1011","1","0"
"linear_scale","dim_order","2201","6","0.35","0.249874","13.1293","1","0"
"linear_scale","dim_order","2201","7","0.4","0.275167","13.2104","1","0"
"linear_scale","dim_order","2201","8","0.45","0.300058","13.4082","1","0"
"linear_scale","dim_order","2201","9","0.5","0.324782","16.7509","1","0"
"linear_scale","dim_order","2201","10","0.55","0.346864","30.977","1","0"
"linear_scale","dim_order","2201","11","0.6","0.367604","66.4713","1","0"
"linear_scale","dim_order","2201","12","0.6","0.384582","117.385","1","0"
"linear_scale","dim_order","2201","13","0.6","0.398537","183.878","1","0"
"linear_scale","dim_order","2202","0","0.05","0.0504815","13.0007","1","0"
"linear_scale","dim_order","2202","1","0.1","0.0742778","12.9806","1","0"
"linear_scale","dim_order","2202","2","0.15","0.149667","12.9973","1","0"
"linear_scale","dim_order","2202","3","0.2","0.176148","13.0382","1","0"
"linear_scale","dim_order","2202","4","0.25","0.200951","13.0494","1","0"
"linear_scale","dim_order","2202","5","0.3","0.22612","13.083","1","0"
"linear_scale","dim_order","2202","6","0.35","0.25063","13.1243","1","0"
"linear_scale","dim_order","2202","7","0.4","0.275623","13.1907","1","0"
"linear_scale","dim_order","2202","8","0.45","0.301048","13.3993","1","0"
"linear_scale","dim_order","2202","9","0.5","0.325208","15.2459","1","0"
"linear_scale","dim_order","2202","10","0.55","0.347658","25.1879","1","0"
"linear_scale","dim_order","2202","11","0.6","0.368474","57.0018","1","0"
"linear_scale","dim_order","2202","12","0.6","0.385525","104.953","1","0"
"linear_scale","dim_order","2202","13","0.6","0.399611","164.805","1","0"
"linear_scale","dim_order","2203","0","0.05","0.0511111","12.987","1","0"
"linear_scale","dim_order","2203","1","0.1","0.0756296","12.9868","1","0"
"linear_scale","dim_order","2203","2","0.15","0.152926","13.0223","1","0"
"linear_scale","dim_order","2203","3","0.2","0.177037","13.0779","1","0"
"linear_scale","dim_order","2203","4","0.25","0.20216","13.0926","1","0"
"linear_scale","dim_order","2203","5","0.3","0.226944","13.1273","1","0"
"linear_scale","dim_order","2203","6","0.35","0.251904","13.1607","1","0"
"linear_scale","dim_order","2203","7","0.4","0.276654","13.248","1","0"
"linear_scale","dim_order","2203","8","0.45","0.301794","13.3637","1","0"
"linear_scale","dim_order","2203","9","0.5","0.326343","14.9017","1","0"
"linear_scale","dim_order","2203","10","0.55","0.348654","26.3432","1","0"
"linear_scale","dim_order","2203","11","0.6","0.369463","56.5956","1","0"
"linear_scale","dim_order","2203","12","0.6","0.386455","105.144","1","0"
"linear_scale","dim_order","2203","13","0.6","0.401012","168.45","1","0"
"linear_scale","dim_order","2204","0","0.05","0.0497037","12.9896","1","0"
"linear_scale","dim_order","2204","1","0.1","0.0763333","12.993","1","0"
"linear_scale","dim_order","2204","2","0.15","0.150259","13.026","1","0"
"linear_scale","dim_order","2204","3","0.2","0.173444","13.0487","1","0"
"linear_scale","dim_order","2204","4","0.25","0.198519","13.0898","1","0"
"linear_scale","dim_order","2204","5","0.3","0.223509","13.13","1","0"
"linear_scale","dim_order","2204","6","0.35","0.249326","13.1598","1","0"
"linear_scale","dim_order","2204","7","0.4","0.274198","13.2338","1","0"
"linear_scale","dim_order","2204","8","0.45","0.299804","13.4059","1","0"
"linear_scale","dim_order","2204","9","0.5","0.324731","14.1769","1","0"
